Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,geometry,coord,spray_14,Tavg,PrecipTotal,DewPoint,R_Humid
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,POINT (-87.654224 41.867108),"(41.867108, -87.654224)",0,68.71428571428571,0.10857142857142855,50.92857142857143,53.06466686678433
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,POINT (-87.654224 41.867108),"(41.867108, -87.654224)",0,68.71428571428571,0.10857142857142855,50.92857142857143,53.06466686678433
2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,11, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,POINT (-87.64886 41.862292),"(41.862292, -87.64886)",0,68.71428571428571,0.10857142857142855,50.92857142857143,53.06466686678433
2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,POINT (-87.655232 41.896282),"(41.896282, -87.655232)",0,68.71428571428571,0.10857142857142855,50.92857142857143,53.06466686678433
2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,1,0,POINT (-87.760886 41.907645),"(41.907645, -87.760886)",0,68.71428571428571,0.10857142857142855,50.92857142857143,53.06466686678433
2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,POINT (-87.666455 41.9216),"(41.9216, -87.666455)",0,68.71428571428571,0.10857142857142855,50.92857142857143,53.06466686678433
2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0,POINT (-87.666014 41.720848),"(41.720848, -87.666014)",0,68.71428571428571,0.10857142857142855,50.92857142857143,53.06466686678433
2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,POINT (-87.694259 41.919343),"(41.919343, -87.694259)",0,68.71428571428571,0.10857142857142855,50.92857142857143,53.06466686678433
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,POINT (-87.632085 41.921965),"(41.921965, -87.632085)",0,68.71428571428571,0.10857142857142855,50.92857142857143,53.06466686678433
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,POINT (-87.632085 41.921965),"(41.921965, -87.632085)",0,68.71428571428571,0.10857142857142855,50.92857142857143,53.06466686678433
