Species,Latitude,Longitude,Tavg,PrecipTotal,DewPoint,R_Humid,day,month,year,loc_weight,WnvPresent
CULEX PIPIENS/RESTUANS,41.867108,-87.654224,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.867108,-87.654224,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.862292,-87.64886,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.896282,-87.655232,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.907645,-87.760886,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.9216,-87.666455,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.720848,-87.666014,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX PIPIENS/RESTUANS,41.919343,-87.694259,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX PIPIENS/RESTUANS,41.921965,-87.632085,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.921965,-87.632085,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX PIPIENS/RESTUANS,41.688324,-87.676709,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.688324,-87.676709,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX PIPIENS,41.731922,-87.677512,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.731922,-87.677512,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.891118,-87.65449100000002,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.95469,-87.800991,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.994991,-87.769279,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX PIPIENS/RESTUANS,41.999129,-87.795585,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX PIPIENS/RESTUANS,42.01743,-87.68776899999997,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX PIPIENS/RESTUANS,41.974089,-87.824812,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.974089,-87.824812,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.732984,-87.649642,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX PIPIENS/RESTUANS,41.891126,-87.61156,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX RESTUANS,41.891126,-87.61156,68.71428571428571,0.10857142857142857,50.92857142857143,53.06466686678432,29,5,2007,0.0,0
CULEX PIPIENS,41.867108,-87.654224,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.867108,-87.654224,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.867108,-87.654224,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.869216,-87.627561,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.0990825111826301,0
CULEX RESTUANS,41.896282,-87.655232,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.906638,-87.701431,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.907645,-87.760886,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09860162290851164,0
CULEX PIPIENS/RESTUANS,41.994469,-87.667736,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09767014578138469,0
CULEX PIPIENS,41.9216,-87.666455,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.9216,-87.666455,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.9216,-87.666455,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.720848,-87.666014,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,42.006858,-87.675919,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09757192288013694,0
CULEX RESTUANS,41.918705,-87.752329,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.919343,-87.694259,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09854104623445471,0
CULEX RESTUANS,41.919343,-87.694259,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09854104623445471,0
CULEX RESTUANS,41.921965,-87.632085,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09656280619545582,0
CULEX RESTUANS,41.688324,-87.676709,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS,41.731922,-87.677512,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.731922,-87.677512,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.731922,-87.677512,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.846075,-87.716277,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.891118,-87.65449100000002,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09947831065757512,0
CULEX RESTUANS,41.932094,-87.700117,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09745101092195377,0
CULEX PIPIENS/RESTUANS,41.682587,-87.707973,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.682587,-87.707973,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.944869,-87.832763,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.948167,-87.730698,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09686276697390889,0
CULEX RESTUANS,41.948167,-87.730698,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09686276697390889,0
CULEX RESTUANS,41.94983,-87.69845699999998,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09843701591498909,0
CULEX PIPIENS/RESTUANS,41.953067,-87.776792,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.953067,-87.776792,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS,41.95469,-87.800991,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.95469,-87.800991,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.95469,-87.800991,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.958271,-87.702575,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09878167225263554,0
CULEX RESTUANS,41.958271,-87.702575,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09878167225263554,0
CULEX PIPIENS,41.662014,-87.72460799999998,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.662014,-87.72460799999998,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.662014,-87.72460799999998,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.963976,-87.69181,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.979243,-87.750938,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09872277949828528,0
CULEX PIPIENS/RESTUANS,41.801498,-87.763416,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.0974321284572622,0
CULEX PIPIENS/RESTUANS,41.961743,-87.76007,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09965136319758225,0
CULEX RESTUANS,41.961743,-87.76007,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.09965136319758225,0
CULEX RESTUANS,41.986921,-87.689778,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.999129,-87.795585,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.999129,-87.795585,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.916265,-87.800515,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.916265,-87.800515,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,42.011601,-87.81150600000002,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.974089,-87.824812,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.974089,-87.824812,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.732984,-87.649642,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.98196400000001,-87.812827,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX PIPIENS/RESTUANS,41.725517,-87.61425799999998,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.878114,-87.629798,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
CULEX RESTUANS,41.723195,-87.64997,70.35714285714286,0.19285714285714284,58.42857142857143,65.92386571892315,5,6,2007,0.1,0
